timestamp_ms,moduleID,motorID,currentSpeed,targetSpeed,PIDOutput,POutput,IOutput,DOutput
timestamp_ms,moduleID,motorID,currentSpeed,targetSpeed,PIDOutput,POutput,IOutput,DOutput
1748615902420,MOD1,14064,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902421,MOD1,14065,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902432,MOD1,14075,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902434,MOD1,14076,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902443,MOD1,14086,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902445,MOD1,14087,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902456,MOD1,14097,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902456,MOD1,14098,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902465,MOD1,14108,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902465,MOD1,14109,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902476,MOD1,14119,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902476,MOD1,14120,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902487,MOD1,14130,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902487,MOD1,14131,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902498,MOD1,14141,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902499,MOD1,14142,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902509,MOD1,14152,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902509,MOD1,14153,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902521,MOD1,14163,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902522,MOD1,14164,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902531,MOD1,14174,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902531,MOD1,14175,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902542,MOD1,14185,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902542,MOD1,14186,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902552,MOD1,14196,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902566,MOD1,14197,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902567,MOD1,14207,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902567,MOD1,14208,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902577,MOD1,14218,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902577,MOD1,14219,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902586,MOD1,14229,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902586,MOD1,14230,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902597,MOD1,14240,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902599,MOD1,14241,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902608,MOD1,14251,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902609,MOD1,14252,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902619,MOD1,14262,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902619,MOD1,14263,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902630,MOD1,14273,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902630,MOD1,14274,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902642,MOD1,14284,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902642,MOD1,14285,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902652,MOD1,14295,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902652,MOD1,14296,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902662,MOD1,14306,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902663,MOD1,14307,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902673,MOD1,14317,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902674,MOD1,14318,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902684,MOD1,14328,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902685,MOD1,14329,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902696,MOD1,14339,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902696,MOD1,14340,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902706,MOD1,14350,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902708,MOD1,14351,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902723,MOD1,14361,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902726,MOD1,14362,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902729,MOD1,14372,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902730,MOD1,14373,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902739,MOD1,14383,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902743,MOD1,14384,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902751,MOD1,14394,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902751,MOD1,14395,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902767,MOD1,14406,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902773,MOD1,14416,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902773,MOD1,14417,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902784,MOD1,14427,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902784,MOD1,14428,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902800,MOD1,14438,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902800,MOD1,14439,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902806,MOD1,14449,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902807,MOD1,14450,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902817,MOD1,14460,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902818,MOD1,14461,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902830,MOD1,14471,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902830,MOD1,14472,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902838,MOD1,14482,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902839,MOD1,14483,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902851,MOD1,14493,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902851,MOD1,14494,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902866,MOD1,14504,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902866,MOD1,14505,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902872,MOD1,14515,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902873,MOD1,14516,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902882,MOD1,14526,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902883,MOD1,14527,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902893,MOD1,14537,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902894,MOD1,14538,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902905,MOD1,14548,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902906,MOD1,14549,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902915,MOD1,14559,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902916,MOD1,14560,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902927,MOD1,14570,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902928,MOD1,14571,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902938,MOD1,14581,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902938,MOD1,14582,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902949,MOD1,14592,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902949,MOD1,14593,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902960,MOD1,14603,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902961,MOD1,14604,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902972,MOD1,14614,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902972,MOD1,14615,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902982,MOD1,14625,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902984,MOD1,14626,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902993,MOD1,14636,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902994,MOD1,14637,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615903005,MOD1,14647,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615903006,MOD1,14648,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615903015,MOD1,14658,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615903015,MOD1,14659,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615903026,MOD1,14669,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615903027,MOD1,14670,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615903037,MOD1,14680,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615903039,MOD1,14681,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615903048,MOD1,14691,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615903048,MOD1,14692,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615903059,MOD1,14702,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615903059,MOD1,14703,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615903070,MOD1,14713,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615903070,MOD1,14714,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615903081,MOD1,14724,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615903081,MOD1,14725,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615903092,MOD1,14735,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615903094,MOD1,14736,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615903103,MOD1,14746,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615903104,MOD1,14747,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615903114,MOD1,14757,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615903114,MOD1,14758,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615903125,MOD1,14768,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615903125,MOD1,14769,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615903136,MOD1,14779,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615903136,MOD1,14780,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615903148,MOD1,14790,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615903149,MOD1,14791,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615903158,MOD1,14801,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615903160,MOD1,14802,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615903176,MOD1,14812,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615903177,MOD1,14813,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615903180,MOD1,14823,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615903180,MOD1,14824,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615903191,MOD1,14834,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615903192,MOD1,14835,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615903202,MOD1,14845,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615903203,MOD1,14846,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615903213,MOD1,14856,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615903214,MOD1,14857,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615903224,MOD1,14867,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615903224,MOD1,14868,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615903235,MOD1,14878,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615903235,MOD1,14879,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615903250,MOD1,14889,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615903251,MOD1,14890,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615903257,MOD1,14900,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615903258,MOD1,14901,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615903268,MOD1,14911,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615903269,MOD1,14912,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615903280,MOD1,14922,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615903280,MOD1,14923,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615903290,MOD1,14933,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615903291,MOD1,14934,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615903301,MOD1,14944,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615903302,MOD1,14945,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615903312,MOD1,14955,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615903313,MOD1,14956,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615903323,MOD1,14966,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615903324,MOD1,14967,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615903334,MOD1,14977,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615903335,MOD1,14978,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615903347,MOD1,14988,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615903347,MOD1,14989,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615903356,MOD1,14999,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615903356,MOD1,15000,12,0.00,0.00,0.00,0.00,0.00,0.00
